Date,Open,High,Low,Close,Adj Close,Volume
18-03-2021,13349.2002,13384.45996,13101.91992,13116.16992,13116.16992,5699900000
19-03-2021,13119.90039,13252.37012,13039.4502,13215.24023,13215.24023,7591530000
22-03-2021,13278.78027,13455.63965,13278.78027,13377.54004,13377.54004,5302770000
23-03-2021,13381.42969,13405.15039,13202.42969,13227.7002,13227.7002,5607860000
24-03-2021,13289.24023,13292.91992,12961.34961,12961.88965,12961.88965,6184470000
25-03-2021,12844.58008,13021.86035,12786.80957,12977.67969,12977.67969,5608640000
26-03-2021,12996.03027,13149.54981,12878.71973,13138.73047,13138.73047,5195330000
29-03-2021,13103.96973,13143.41016,12968.16016,13059.65039,13059.65039,4934000000
30-03-2021,13008.79981,13075.75,12922.57031,13045.38965,13045.38965,4685320000
31-03-2021,13122.57031,13325.54004,13118.37988,13246.87012,13246.87012,4980670000
01-04-2021,13414.32031,13487.08008,13404.17969,13480.11035,13480.11035,4553470000
05-04-2021,13594.90039,13720.58008,13582.75977,13705.58984,13705.58984,4439970000
06-04-2021,13681.66992,13776.70996,13674.28027,13698.37988,13698.37988,4038510000
07-04-2021,13675.29981,13733.03027,13653.58984,13688.83984,13688.83984,4078990000
08-04-2021,13796.88965,13830.13965,13758.70996,13829.30957,13829.30957,4133640000
09-04-2021,13787.01953,13905.41016,13748.34961,13900.19043,13900.19043,3906460000
12-04-2021,13854.44043,13877,13783.9502,13850,13850,4230160000
13-04-2021,13902.4502,14011.50977,13902.4502,13996.09961,13996.09961,4200290000
14-04-2021,14004.08008,14033.62988,13839.04004,13857.83984,13857.83984,4102380000
15-04-2021,13983.23047,14049.12988,13970.41992,14038.75977,14038.75977,4382620000
16-04-2021,14059.11035,14062.5,13977.04981,14052.33984,14052.33984,4414640000
19-04-2021,13984.58008,14041.79004,13842.57031,13914.76953,13914.76953,4349340000
20-04-2021,13894.45996,13927.66992,13698.66992,13786.26953,13786.26953,4229410000
21-04-2021,13745.76953,13951.34961,13706.86035,13950.21973,13950.21973,3967090000
22-04-2021,13952.57031,14015.87012,13771.04004,13818.41016,13818.41016,4397030000
23-04-2021,13861.37012,14062.74023,13856.83008,14016.80957,14016.80957,4332500000
26-04-2021,14052.37988,14154.03027,14019.5,14138.78027,14138.78027,4479480000
27-04-2021,14170.91016,14171.24023,14064.28027,14090.21973,14090.21973,4665430000
28-04-2021,14082.78027,14133.65039,14034.7002,14051.03027,14051.03027,4532050000
29-04-2021,14204.50977,14211.57031,13952.79981,14082.54981,14082.54981,4854340000
30-04-2021,13970.73047,14084.75977,13941.62988,13962.67969,13962.67969,4762770000
03-05-2021,14031.76953,14042.12012,13881.50977,13895.12012,13895.12012,4718850000
04-05-2021,13774.50977,13795.57031,13485.58984,13633.5,13633.5,5852850000
05-05-2021,13731.12988,13753.04981,13553.92969,13582.41992,13582.41992,4517100000
06-05-2021,13557.83008,13635.73047,13439.38965,13632.83984,13632.83984,5000710000
